"","label"
"GSM330464","inv(16)"
"GSM330465","inv(16)"
"GSM330466","inv(16)"
"GSM330467","inv(16)"
"GSM330468","inv(16)"
"GSM330469","inv(16)"
"GSM330470","inv(16)"
"GSM330471","inv(16)"
"GSM330472","inv(16)"
"GSM330473","inv(16)"
"GSM330474","inv(16)"
"GSM330475","inv(16)"
"GSM330476","inv(16)"
"GSM330477","inv(16)"
"GSM330478","inv(16)"
"GSM330479","inv(16)"
"GSM330480","inv(16)"
"GSM330481","inv(16)"
"GSM330482","inv(16)"
"GSM330483","inv(16)"
"GSM330484","inv(16)"
"GSM330485","inv(16)"
"GSM330486","inv(16)"
"GSM330487","inv(16)"
"GSM330488","inv(16)"
"GSM330489","inv(16)"
"GSM330490","inv(16)"
"GSM330491","inv(16)"
"GSM330427","t(15;17)"
"GSM330428","t(15;17)"
"GSM330429","t(15;17)"
"GSM330430","t(15;17)"
"GSM330431","t(15;17)"
"GSM330432","t(15;17)"
"GSM330433","t(15;17)"
"GSM330434","t(15;17)"
"GSM330435","t(15;17)"
"GSM330436","t(15;17)"
"GSM330437","t(15;17)"
"GSM330438","t(15;17)"
"GSM330439","t(15;17)"
"GSM330440","t(15;17)"
"GSM330441","t(15;17)"
"GSM330442","t(15;17)"
"GSM330443","t(15;17)"
"GSM330444","t(15;17)"
"GSM330445","t(15;17)"
"GSM330446","t(15;17)"
"GSM330447","t(15;17)"
"GSM330448","t(15;17)"
"GSM330449","t(15;17)"
"GSM330450","t(15;17)"
"GSM330451","t(15;17)"
"GSM330452","t(15;17)"
"GSM330453","t(15;17)"
"GSM330454","t(15;17)"
"GSM330455","t(15;17)"
"GSM330456","t(15;17)"
"GSM330457","t(15;17)"
"GSM330458","t(15;17)"
"GSM330459","t(15;17)"
"GSM330460","t(15;17)"
"GSM330461","t(15;17)"
"GSM330462","t(15;17)"
"GSM330463","t(15;17)"
"GSM330387","t(8;21)"
"GSM330388","t(8;21)"
"GSM330389","t(8;21)"
"GSM330390","t(8;21)"
"GSM330391","t(8;21)"
"GSM330392","t(8;21)"
"GSM330393","t(8;21)"
"GSM330394","t(8;21)"
"GSM330395","t(8;21)"
"GSM330396","t(8;21)"
"GSM330397","t(8;21)"
"GSM330398","t(8;21)"
"GSM330399","t(8;21)"
"GSM330400","t(8;21)"
"GSM330401","t(8;21)"
"GSM330402","t(8;21)"
"GSM330403","t(8;21)"
"GSM330404","t(8;21)"
"GSM330405","t(8;21)"
"GSM330406","t(8;21)"
"GSM330407","t(8;21)"
"GSM330408","t(8;21)"
"GSM330409","t(8;21)"
"GSM330410","t(8;21)"
"GSM330411","t(8;21)"
"GSM330412","t(8;21)"
"GSM330413","t(8;21)"
"GSM330414","t(8;21)"
"GSM330415","t(8;21)"
"GSM330416","t(8;21)"
"GSM330417","t(8;21)"
"GSM330418","t(8;21)"
"GSM330419","t(8;21)"
"GSM330420","t(8;21)"
"GSM330421","t(8;21)"
"GSM330422","t(8;21)"
"GSM330423","t(8;21)"
"GSM330424","t(8;21)"
"GSM330425","t(8;21)"
"GSM330426","t(8;21)"
